Name,Item,Kind,Hidden
scr_tCardWiring,scr_tCardWiring,Table,False
scr_tTermOptions,scr_tTermOptions,Table,False
scr_tTermCatalog,scr_tTermCatalog,Table,False
scr_tTermOptionFilters,scr_tTermOptionFilters,Table,False
scr_tCables,scr_tCables,Table,False
scr_tFuseSizes,scr_tFuseSizes,Table,False
scr_tKeyingMainMacro,scr_tKeyingMainMacro,Table,False
scr_tKeyingPattern,scr_tKeyingPattern,Table,False
scr_tTermSymbols,scr_tTermSymbols,Table,False
scr_tEPLANJumpers,scr_tEPLANJumpers,Table,False
scr_tYCoords,scr_tYCoords,Table,False
scr_tFunctionDef,scr_tFunctionDef,Table,False
scr_tEPLANJumpersNOTSTANDARD,scr_tEPLANJumpersNOTSTANDARD,Table,False
scr_EECDefaultRung,scr_EECDefaultRung,Table,False
src_tMacroList,src_tMacroList,Table,False
scr_Table14,scr_Table14,Table,False
scr_Table30,scr_Table30,Table,False
scr_tE104GenVersion,scr_tE104GenVersion,Table,False
Table6,Table6,Table,False
Table5,Table5,Table,False
tEPlanColors,tEPlanColors,Table,False
Table9,Table9,Table,False
Table7,Table7,Table,False
